PATH,FILENAME,EXTENSION,LINES OF CODE
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample,.gitattributes,gitattributes,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample,.gitignore,gitignore,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample,README.md,md,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample,SampleWebApi.sln,sln,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git,config,config,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git,description,description,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git,HEAD,HEAD,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git,index,index,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git,ms-persist.xml,xml,7
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git,packed-refs,packed-refs,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\hooks,applypatch-msg.sample,sample,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\hooks,commit-msg.sample,sample,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\hooks,fsmonitor-watchman.sample,sample,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\hooks,post-update.sample,sample,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\hooks,pre-applypatch.sample,sample,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\hooks,pre-commit.sample,sample,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\hooks,pre-merge-commit.sample,sample,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\hooks,pre-push.sample,sample,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\hooks,pre-rebase.sample,sample,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\hooks,pre-receive.sample,sample,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\hooks,prepare-commit-msg.sample,sample,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\hooks,push-to-checkout.sample,sample,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\hooks,update.sample,sample,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\info,exclude,exclude,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\logs,HEAD,HEAD,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\logs\refs\heads,dotnet6,dotnet6,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\logs\refs\heads,master,master,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\logs\refs\remotes\origin,HEAD,HEAD,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\objects\pack,pack-8d9dae065b10817a83aef4469e85dc0c6605b0b5.idx,idx,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\objects\pack,pack-8d9dae065b10817a83aef4469e85dc0c6605b0b5.pack,pack,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\refs\heads,dotnet6,dotnet6,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\refs\heads,master,master,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.git\refs\remotes\origin,HEAD,HEAD,0
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.vs\SampleWebApi\config,applicationhost.config,config,1024
D:\projects\Relativity\Git Clone\ASPNET-WebAPI-Sample\.vs\SampleWebApi\FileContentIndex,fea73a75-7e6f-46a1-a7c1-8c2196fe64f9.vsidx,vsidx,0
